id,judul,penulis,penerbit,tahunTerbit,stok,kategori_id
1043,Silent Fury: Dark Mafia Romance,Alessa Steel,XSN,2024,10,27
1044,Romance Languages and Linguistic Theory 2001,Josep Quer i Carbonell,John Benjamins Publishing,2003,10,27
1045,Indefinites Between Latin and Romance,Chiara Gianollo,"Oxford University Press, USA",2018,10,27
1046,Billionaire Baby Daddy: A Billionaire Boss Romance,Alice Fox,XSN,2024,10,27
1047,Manual of Judaeo-Romance Linguistics and Philology,"Guido Mensching, Frank Savelsberg",Walter de Gruyter GmbH & Co KG,2023,10,27
1048,Vowel Length From Latin to Romance,Michele Loporcaro,OUP Oxford,2015,10,27
1049,Illustration in Fin-de-Siècle Transatlantic Romance Fiction,Kate Holterhoff,Routledge,2022,10,27
1050,Middle English Romance and the Craft of Memory,Jamie McKinstry,Boydell & Brewer,2015,10,27
1051,Rekindling Romance For Dummies,Sabine Walter,John Wiley & Sons,2011,10,27
1052,National and Regional Trends in Romance Linguistics and Philology,"Rebecca Posner, John N. Green",Walter de Gruyter,2011,10,27
1053,Gender from Latin to Romance,Michele Loporcaro,Oxford University Press,2017,10,27
1054,The Cambridge Handbook of Romance Linguistics,"Adam Ledgeway, Martin Maiden",Cambridge University Press,2022,10,27
1055,Joseph Conrad and the Imperial Romance,L. Dryden,Springer,1999,10,27
1056,Making Meaning in Popular Romance Fiction,Jayashree Kamblé,Springer,2014,10,27
1057,Medieval Romance and the Construction of Heterosexuality,L. Sylvester,Springer,2007,10,27
1058,Lost & Found: Small Town Second Chance Romance,Alice Fox,XSN,2024,10,27
1059,Just One Night: A Friends to Lovers Romance,Jami Rogers,Jami Rogers,2016,10,27
1060,German - Romance Contact: Name-giving in Walser Settlements,Peter Nichols Richardson,Rodopi,1974,10,27
1061,New Perspectives on Bare Noun Phrases in Romance and Beyond,"Johannes Kabatek, Albert Wall",John Benjamins Publishing,2013,10,27
1062,Heroes and Anti-heroes in Medieval Romance,Neil Cartlidge,DS Brewer,2012,10,27
1063,Petite's Romance,M. J. M***.,Unknown,1870,10,27
1064,The Blithedale romance (1876),Nathaniel Hawthorne,Unknown,1876,10,27
1065,A Sherburne Romance,Amanda M. Douglas,Unknown,1895,10,27
1066,A Romance of Two Worlds,Marie Corelli,Unknown,1896,10,27
1067,A Riverside Romance,Mrs. Edward Kennard,Unknown,1898,10,27
1068,The Pirate: A Hostage Romance,Amelia Wilde,Amelia Wilde,2022,10,27
1069,A Paradise of English Poetry: Romance,Henry Charles Beeching,Unknown,1893,10,27
1070,"The Romance of Isabel, Lady Burton","Lady Isabel Burton, William Henry Wilkins",Unknown,1897,10,27
